BusinessEntityID,RateChangeDate,Rate,PayFrequency,ModifiedDate
265,12/4/2008,32.4519,2,11/25/2008
266,2/23/2009,32.4519,2,2/5/2009
267,2/16/2009,27.4038,2,1/31/2009
268,2/3/2009,27.4038,2,1/17/2009
269,1/11/2009,27.4038,2,12/27/2008
270,1/17/2009,38.4615,2,1/8/2009
271,1/22/2009,38.4615,2,1/16/2009
272,12/23/2008,27.4038,2,12/13/2008
273,2/15/2011,72.1154,2,2/15/2011
274,1/4/2011,48.101,2,12/28/2010
275,5/31/2011,23.0769,2,5/17/2011
276,5/31/2011,23.0769,2,5/24/2011
277,5/31/2011,23.0769,2,5/18/2011
278,5/31/2011,23.0769,2,5/15/2011
279,5/31/2011,23.0769,2,5/28/2011
280,5/31/2011,23.0769,2,5/20/2011
281,5/31/2011,23.0769,2,5/22/2011
282,5/31/2011,23.0769,2,5/29/2011
283,5/31/2011,23.0769,2,5/26/2011
284,9/30/2012,23.0769,2,9/14/2012
285,3/14/2013,48.101,2,2/28/2013
286,5/30/2013,23.0769,2,5/14/2013
287,4/16/2012,48.101,2,4/3/2012
288,5/30/2013,23.0769,2,5/25/2013
289,5/30/2012,23.0769,2,5/28/2012
290,5/30/2012,23.0769,2,5/14/2012
