DateSK	FullDateAK	DayNumberOfWeek	DayNameOfWeek	DayNameOfWeekAbbr	DayNumberOfMonth	DayNumberOfYear	WeekNumberOfYear	MonthName	MonthNameAbbr	MonthNumberOfYear	CalendarQuarter	CalendarYear
20050207	2/7/2005	2	Monday	Mon	7	38	7	February	Feb	2	1	2005
20050208	2/8/2005	3	Tuesday	Tue	8	39	7	February	Feb	2	1	2005
20050209	2/9/2005	4	Wednesday	Wed	9	40	7	February	Feb	2	1	2005
20050210	2/10/2005	5	Thursday	Thu	10	41	7	February	Feb	2	1	2005
20050211	2/11/2005	6	Friday	Fri	11	42	7	February	Feb	2	1	2005
20050212	2/12/2005	7	Saturday	Sat	12	43	7	February	Feb	2	1	2005
20050213	2/13/2005	1	Sunday	Sun	13	44	8	February	Feb	2	1	2005
20050214	2/14/2005	2	Monday	Mon	14	45	8	February	Feb	2	1	2005
20050215	2/15/2005	3	Tuesday	Tue	15	46	8	February	Feb	2	1	2005
20050216	2/16/2005	4	Wednesday	Wed	16	47	8	February	Feb	2	1	2005
20050217	2/17/2005	5	Thursday	Thu	17	48	8	February	Feb	2	1	2005
20050218	2/18/2005	6	Friday	Fri	18	49	8	February	Feb	2	1	2005
20050219	2/19/2005	7	Saturday	Sat	19	50	8	February	Feb	2	1	2005
20050220	2/20/2005	1	Sunday	Sun	20	51	9	February	Feb	2	1	2005
20050221	2/21/2005	2	Monday	Mon	21	52	9	February	Feb	2	1	2005
20050222	2/22/2005	3	Tuesday	Tue	22	53	9	February	Feb	2	1	2005
20050223	2/23/2005	4	Wednesday	Wed	23	54	9	February	Feb	2	1	2005
20050224	2/24/2005	5	Thursday	Thu	24	55	9	February	Feb	2	1	2005
20050225	2/25/2005	6	Friday	Fri	25	56	9	February	Feb	2	1	2005
20050226	2/26/2005	7	Saturday	Sat	26	57	9	February	Feb	2	1	2005
20050227	2/27/2005	1	Sunday	Sun	27	58	10	February	Feb	2	1	2005
20050228	2/28/2005	2	Monday	Mon	28	59	10	February	Feb	2	1	2005
20050301	3/1/2005	3	Tuesday	Tue	1	60	10	March	Mar	3	1	2005
20050302	3/2/2005	4	Wednesday	Wed	2	61	10	March	Mar	3	1	2005
20050303	3/3/2005	5	Thursday	Thu	3	62	10	March	Mar	3	1	2005
20050304	3/4/2005	6	Friday	Fri	4	63	10	March	Mar	3	1	2005
20050305	3/5/2005	7	Saturday	Sat	5	64	10	March	Mar	3	1	2005
20050306	3/6/2005	1	Sunday	Sun	6	65	11	March	Mar	3	1	2005
20050307	3/7/2005	2	Monday	Mon	7	66	11	March	Mar	3	1	2005
20050308	3/8/2005	3	Tuesday	Tue	8	67	11	March	Mar	3	1	2005
20050309	3/9/2005	4	Wednesday	Wed	9	68	11	March	Mar	3	1	2005
20050310	3/10/2005	5	Thursday	Thu	10	69	11	March	Mar	3	1	2005
20050311	3/11/2005	6	Friday	Fri	11	70	11	March	Mar	3	1	2005
20050312	3/12/2005	7	Saturday	Sat	12	71	11	March	Mar	3	1	2005
20050313	3/13/2005	1	Sunday	Sun	13	72	12	March	Mar	3	1	2005
20050314	3/14/2005	2	Monday	Mon	14	73	12	March	Mar	3	1	2005
20050315	3/15/2005	3	Tuesday	Tue	15	74	12	March	Mar	3	1	2005
20050316	3/16/2005	4	Wednesday	Wed	16	75	12	March	Mar	3	1	2005
20050317	3/17/2005	5	Thursday	Thu	17	76	12	March	Mar	3	1	2005
20050318	3/18/2005	6	Friday	Fri	18	77	12	March	Mar	3	1	2005
20050319	3/19/2005	7	Saturday	Sat	19	78	12	March	Mar	3	1	2005
20050320	3/20/2005	1	Sunday	Sun	20	79	13	March	Mar	3	1	2005
20050321	3/21/2005	2	Monday	Mon	21	80	13	March	Mar	3	1	2005
20050322	3/22/2005	3	Tuesday	Tue	22	81	13	March	Mar	3	1	2005
20050323	3/23/2005	4	Wednesday	Wed	23	82	13	March	Mar	3	1	2005
20050324	3/24/2005	5	Thursday	Thu	24	83	13	March	Mar	3	1	2005
20050325	3/25/2005	6	Friday	Fri	25	84	13	March	Mar	3	1	2005
20050326	3/26/2005	7	Saturday	Sat	26	85	13	March	Mar	3	1	2005
20050327	3/27/2005	1	Sunday	Sun	27	86	14	March	Mar	3	1	2005
20050328	3/28/2005	2	Monday	Mon	28	87	14	March	Mar	3	1	2005
20050329	3/29/2005	3	Tuesday	Tue	29	88	14	March	Mar	3	1	2005
20050330	3/30/2005	4	Wednesday	Wed	30	89	14	March	Mar	3	1	2005
20050331	3/31/2005	5	Thursday	Thu	31	90	14	March	Mar	3	1	2005
20050401	4/1/2005	6	Friday	Fri	1	91	14	April	Apr	4	2	2005
20050402	4/2/2005	7	Saturday	Sat	2	92	14	April	Apr	4	2	2005
20050403	4/3/2005	1	Sunday	Sun	3	93	15	April	Apr	4	2	2005
20050404	4/4/2005	2	Monday	Mon	4	94	15	April	Apr	4	2	2005
20050405	4/5/2005	3	Tuesday	Tue	5	95	15	April	Apr	4	2	2005
20050406	4/6/2005	4	Wednesday	Wed	6	96	15	April	Apr	4	2	2005
20050407	4/7/2005	5	Thursday	Thu	7	97	15	April	Apr	4	2	2005
20050408	4/8/2005	6	Friday	Fri	8	98	15	April	Apr	4	2	2005
20050409	4/9/2005	7	Saturday	Sat	9	99	15	April	Apr	4	2	2005
20050410	4/10/2005	1	Sunday	Sun	10	100	16	April	Apr	4	2	2005
20050411	4/11/2005	2	Monday	Mon	11	101	16	April	Apr	4	2	2005
20050412	4/12/2005	3	Tuesday	Tue	12	102	16	April	Apr	4	2	2005
20050413	4/13/2005	4	Wednesday	Wed	13	103	16	April	Apr	4	2	2005
20050414	4/14/2005	5	Thursday	Thu	14	104	16	April	Apr	4	2	2005
20050415	4/15/2005	6	Friday	Fri	15	105	16	April	Apr	4	2	2005
20050416	4/16/2005	7	Saturday	Sat	16	106	16	April	Apr	4	2	2005
20050417	4/17/2005	1	Sunday	Sun	17	107	17	April	Apr	4	2	2005
20050418	4/18/2005	2	Monday	Mon	18	108	17	April	Apr	4	2	2005
20050419	4/19/2005	3	Tuesday	Tue	19	109	17	April	Apr	4	2	2005
20050420	4/20/2005	4	Wednesday	Wed	20	110	17	April	Apr	4	2	2005
20050421	4/21/2005	5	Thursday	Thu	21	111	17	April	Apr	4	2	2005
20050422	4/22/2005	6	Friday	Fri	22	112	17	April	Apr	4	2	2005
20050423	4/23/2005	7	Saturday	Sat	23	113	17	April	Apr	4	2	2005
20050424	4/24/2005	1	Sunday	Sun	24	114	18	April	Apr	4	2	2005
20050425	4/25/2005	2	Monday	Mon	25	115	18	April	Apr	4	2	2005
20050426	4/26/2005	3	Tuesday	Tue	26	116	18	April	Apr	4	2	2005
20050427	4/27/2005	4	Wednesday	Wed	27	117	18	April	Apr	4	2	2005
20050428	4/28/2005	5	Thursday	Thu	28	118	18	April	Apr	4	2	2005
20050429	4/29/2005	6	Friday	Fri	29	119	18	April	Apr	4	2	2005
20050430	4/30/2005	7	Saturday	Sat	30	120	18	April	Apr	4	2	2005
20050501	5/1/2005	1	Sunday	Sun	1	121	19	May	May	5	2	2005
20050502	5/2/2005	2	Monday	Mon	2	122	19	May	May	5	2	2005
20050503	5/3/2005	3	Tuesday	Tue	3	123	19	May	May	5	2	2005
20050504	5/4/2005	4	Wednesday	Wed	4	124	19	May	May	5	2	2005
20050505	5/5/2005	5	Thursday	Thu	5	125	19	May	May	5	2	2005
20050506	5/6/2005	6	Friday	Fri	6	126	19	May	May	5	2	2005
20050507	5/7/2005	7	Saturday	Sat	7	127	19	May	May	5	2	2005
20050508	5/8/2005	1	Sunday	Sun	8	128	20	May	May	5	2	2005
20050509	5/9/2005	2	Monday	Mon	9	129	20	May	May	5	2	2005
20050510	5/10/2005	3	Tuesday	Tue	10	130	20	May	May	5	2	2005
20050511	5/11/2005	4	Wednesday	Wed	11	131	20	May	May	5	2	2005
20050512	5/12/2005	5	Thursday	Thu	12	132	20	May	May	5	2	2005
20050513	5/13/2005	6	Friday	Fri	13	133	20	May	May	5	2	2005
20050514	5/14/2005	7	Saturday	Sat	14	134	20	May	May	5	2	2005
20050515	5/15/2005	1	Sunday	Sun	15	135	21	May	May	5	2	2005
20050516	5/16/2005	2	Monday	Mon	16	136	21	May	May	5	2	2005
20050517	5/17/2005	3	Tuesday	Tue	17	137	21	May	May	5	2	2005
20050518	5/18/2005	4	Wednesday	Wed	18	138	21	May	May	5	2	2005
20050519	5/19/2005	5	Thursday	Thu	19	139	21	May	May	5	2	2005
20050520	5/20/2005	6	Friday	Fri	20	140	21	May	May	5	2	2005
20050521	5/21/2005	7	Saturday	Sat	21	141	21	May	May	5	2	2005
20050522	5/22/2005	1	Sunday	Sun	22	142	22	May	May	5	2	2005
20050523	5/23/2005	2	Monday	Mon	23	143	22	May	May	5	2	2005
20050524	5/24/2005	3	Tuesday	Tue	24	144	22	May	May	5	2	2005
20050525	5/25/2005	4	Wednesday	Wed	25	145	22	May	May	5	2	2005
20050526	5/26/2005	5	Thursday	Thu	26	146	22	May	May	5	2	2005
20050527	5/27/2005	6	Friday	Fri	27	147	22	May	May	5	2	2005
20050528	5/28/2005	7	Saturday	Sat	28	148	22	May	May	5	2	2005
20050529	5/29/2005	1	Sunday	Sun	29	149	23	May	May	5	2	2005
20050530	5/30/2005	2	Monday	Mon	30	150	23	May	May	5	2	2005
20050531	5/31/2005	3	Tuesday	Tue	31	151	23	May	May	5	2	2005
20050601	6/1/2005	4	Wednesday	Wed	1	152	23	June	Jun	6	2	2005
20050602	6/2/2005	5	Thursday	Thu	2	153	23	June	Jun	6	2	2005
20050603	6/3/2005	6	Friday	Fri	3	154	23	June	Jun	6	2	2005
20050604	6/4/2005	7	Saturday	Sat	4	155	23	June	Jun	6	2	2005
20050605	6/5/2005	1	Sunday	Sun	5	156	24	June	Jun	6	2	2005
20050606	6/6/2005	2	Monday	Mon	6	157	24	June	Jun	6	2	2005
20050607	6/7/2005	3	Tuesday	Tue	7	158	24	June	Jun	6	2	2005
20050608	6/8/2005	4	Wednesday	Wed	8	159	24	June	Jun	6	2	2005
20050609	6/9/2005	5	Thursday	Thu	9	160	24	June	Jun	6	2	2005
20050610	6/10/2005	6	Friday	Fri	10	161	24	June	Jun	6	2	2005
20050611	6/11/2005	7	Saturday	Sat	11	162	24	June	Jun	6	2	2005
20050612	6/12/2005	1	Sunday	Sun	12	163	25	June	Jun	6	2	2005
20050613	6/13/2005	2	Monday	Mon	13	164	25	June	Jun	6	2	2005
20050614	6/14/2005	3	Tuesday	Tue	14	165	25	June	Jun	6	2	2005
20050615	6/15/2005	4	Wednesday	Wed	15	166	25	June	Jun	6	2	2005
20050616	6/16/2005	5	Thursday	Thu	16	167	25	June	Jun	6	2	2005
20050617	6/17/2005	6	Friday	Fri	17	168	25	June	Jun	6	2	2005
20050618	6/18/2005	7	Saturday	Sat	18	169	25	June	Jun	6	2	2005
20050619	6/19/2005	1	Sunday	Sun	19	170	26	June	Jun	6	2	2005
20050620	6/20/2005	2	Monday	Mon	20	171	26	June	Jun	6	2	2005
20050621	6/21/2005	3	Tuesday	Tue	21	172	26	June	Jun	6	2	2005
20050622	6/22/2005	4	Wednesday	Wed	22	173	26	June	Jun	6	2	2005
20050623	6/23/2005	5	Thursday	Thu	23	174	26	June	Jun	6	2	2005
20050624	6/24/2005	6	Friday	Fri	24	175	26	June	Jun	6	2	2005
20050625	6/25/2005	7	Saturday	Sat	25	176	26	June	Jun	6	2	2005
20050626	6/26/2005	1	Sunday	Sun	26	177	27	June	Jun	6	2	2005
20050627	6/27/2005	2	Monday	Mon	27	178	27	June	Jun	6	2	2005
20050628	6/28/2005	3	Tuesday	Tue	28	179	27	June	Jun	6	2	2005
20050629	6/29/2005	4	Wednesday	Wed	29	180	27	June	Jun	6	2	2005
20050630	6/30/2005	5	Thursday	Thu	30	181	27	June	Jun	6	2	2005
20050701	7/1/2005	6	Friday	Fri	1	182	27	July	Jul	7	3	2005
20050702	7/2/2005	7	Saturday	Sat	2	183	27	July	Jul	7	3	2005
20050703	7/3/2005	1	Sunday	Sun	3	184	28	July	Jul	7	3	2005
20050704	7/4/2005	2	Monday	Mon	4	185	28	July	Jul	7	3	2005
20050705	7/5/2005	3	Tuesday	Tue	5	186	28	July	Jul	7	3	2005
20050706	7/6/2005	4	Wednesday	Wed	6	187	28	July	Jul	7	3	2005
20050707	7/7/2005	5	Thursday	Thu	7	188	28	July	Jul	7	3	2005
20050708	7/8/2005	6	Friday	Fri	8	189	28	July	Jul	7	3	2005
20050709	7/9/2005	7	Saturday	Sat	9	190	28	July	Jul	7	3	2005
20050710	7/10/2005	1	Sunday	Sun	10	191	29	July	Jul	7	3	2005
20050711	7/11/2005	2	Monday	Mon	11	192	29	July	Jul	7	3	2005
20050712	7/12/2005	3	Tuesday	Tue	12	193	29	July	Jul	7	3	2005
20050713	7/13/2005	4	Wednesday	Wed	13	194	29	July	Jul	7	3	2005
20050714	7/14/2005	5	Thursday	Thu	14	195	29	July	Jul	7	3	2005
20050715	7/15/2005	6	Friday	Fri	15	196	29	July	Jul	7	3	2005
20050716	7/16/2005	7	Saturday	Sat	16	197	29	July	Jul	7	3	2005
20050717	7/17/2005	1	Sunday	Sun	17	198	30	July	Jul	7	3	2005
20050718	7/18/2005	2	Monday	Mon	18	199	30	July	Jul	7	3	2005
20050719	7/19/2005	3	Tuesday	Tue	19	200	30	July	Jul	7	3	2005
20050720	7/20/2005	4	Wednesday	Wed	20	201	30	July	Jul	7	3	2005
20050721	7/21/2005	5	Thursday	Thu	21	202	30	July	Jul	7	3	2005
20050722	7/22/2005	6	Friday	Fri	22	203	30	July	Jul	7	3	2005
20050723	7/23/2005	7	Saturday	Sat	23	204	30	July	Jul	7	3	2005
20050724	7/24/2005	1	Sunday	Sun	24	205	31	July	Jul	7	3	2005
20050725	7/25/2005	2	Monday	Mon	25	206	31	July	Jul	7	3	2005
20050726	7/26/2005	3	Tuesday	Tue	26	207	31	July	Jul	7	3	2005
20050727	7/27/2005	4	Wednesday	Wed	27	208	31	July	Jul	7	3	2005
20050728	7/28/2005	5	Thursday	Thu	28	209	31	July	Jul	7	3	2005
20050729	7/29/2005	6	Friday	Fri	29	210	31	July	Jul	7	3	2005
20050730	7/30/2005	7	Saturday	Sat	30	211	31	July	Jul	7	3	2005
20050731	7/31/2005	1	Sunday	Sun	31	212	32	July	Jul	7	3	2005
20050801	8/1/2005	2	Monday	Mon	1	213	32	August	Aug	8	3	2005
20050802	8/2/2005	3	Tuesday	Tue	2	214	32	August	Aug	8	3	2005
20050803	8/3/2005	4	Wednesday	Wed	3	215	32	August	Aug	8	3	2005
20050804	8/4/2005	5	Thursday	Thu	4	216	32	August	Aug	8	3	2005
20050805	8/5/2005	6	Friday	Fri	5	217	32	August	Aug	8	3	2005
20050806	8/6/2005	7	Saturday	Sat	6	218	32	August	Aug	8	3	2005
20050807	8/7/2005	1	Sunday	Sun	7	219	33	August	Aug	8	3	2005
20050808	8/8/2005	2	Monday	Mon	8	220	33	August	Aug	8	3	2005
20050809	8/9/2005	3	Tuesday	Tue	9	221	33	August	Aug	8	3	2005
20050810	8/10/2005	4	Wednesday	Wed	10	222	33	August	Aug	8	3	2005
20050811	8/11/2005	5	Thursday	Thu	11	223	33	August	Aug	8	3	2005
20050812	8/12/2005	6	Friday	Fri	12	224	33	August	Aug	8	3	2005
20050813	8/13/2005	7	Saturday	Sat	13	225	33	August	Aug	8	3	2005
20050814	8/14/2005	1	Sunday	Sun	14	226	34	August	Aug	8	3	2005
20050815	8/15/2005	2	Monday	Mon	15	227	34	August	Aug	8	3	2005
20050816	8/16/2005	3	Tuesday	Tue	16	228	34	August	Aug	8	3	2005
20050817	8/17/2005	4	Wednesday	Wed	17	229	34	August	Aug	8	3	2005
20050818	8/18/2005	5	Thursday	Thu	18	230	34	August	Aug	8	3	2005
20050819	8/19/2005	6	Friday	Fri	19	231	34	August	Aug	8	3	2005
20050820	8/20/2005	7	Saturday	Sat	20	232	34	August	Aug	8	3	2005
20050821	8/21/2005	1	Sunday	Sun	21	233	35	August	Aug	8	3	2005
20050822	8/22/2005	2	Monday	Mon	22	234	35	August	Aug	8	3	2005
20050823	8/23/2005	3	Tuesday	Tue	23	235	35	August	Aug	8	3	2005
20050824	8/24/2005	4	Wednesday	Wed	24	236	35	August	Aug	8	3	2005
20050825	8/25/2005	5	Thursday	Thu	25	237	35	August	Aug	8	3	2005
20050826	8/26/2005	6	Friday	Fri	26	238	35	August	Aug	8	3	2005
20050827	8/27/2005	7	Saturday	Sat	27	239	35	August	Aug	8	3	2005
20050828	8/28/2005	1	Sunday	Sun	28	240	36	August	Aug	8	3	2005
20050829	8/29/2005	2	Monday	Mon	29	241	36	August	Aug	8	3	2005
20050830	8/30/2005	3	Tuesday	Tue	30	242	36	August	Aug	8	3	2005
20050831	8/31/2005	4	Wednesday	Wed	31	243	36	August	Aug	8	3	2005
20050901	9/1/2005	5	Thursday	Thu	1	244	36	September	Sep	9	3	2005
20050902	9/2/2005	6	Friday	Fri	2	245	36	September	Sep	9	3	2005
20050903	9/3/2005	7	Saturday	Sat	3	246	36	September	Sep	9	3	2005
20050904	9/4/2005	1	Sunday	Sun	4	247	37	September	Sep	9	3	2005
20050905	9/5/2005	2	Monday	Mon	5	248	37	September	Sep	9	3	2005
20050906	9/6/2005	3	Tuesday	Tue	6	249	37	September	Sep	9	3	2005
20050907	9/7/2005	4	Wednesday	Wed	7	250	37	September	Sep	9	3	2005
20050908	9/8/2005	5	Thursday	Thu	8	251	37	September	Sep	9	3	2005
20050909	9/9/2005	6	Friday	Fri	9	252	37	September	Sep	9	3	2005
20050910	9/10/2005	7	Saturday	Sat	10	253	37	September	Sep	9	3	2005
20050911	9/11/2005	1	Sunday	Sun	11	254	38	September	Sep	9	3	2005
20050912	9/12/2005	2	Monday	Mon	12	255	38	September	Sep	9	3	2005
20050913	9/13/2005	3	Tuesday	Tue	13	256	38	September	Sep	9	3	2005
20050914	9/14/2005	4	Wednesday	Wed	14	257	38	September	Sep	9	3	2005
20050915	9/15/2005	5	Thursday	Thu	15	258	38	September	Sep	9	3	2005
20050916	9/16/2005	6	Friday	Fri	16	259	38	September	Sep	9	3	2005
20050917	9/17/2005	7	Saturday	Sat	17	260	38	September	Sep	9	3	2005
20050918	9/18/2005	1	Sunday	Sun	18	261	39	September	Sep	9	3	2005
20050919	9/19/2005	2	Monday	Mon	19	262	39	September	Sep	9	3	2005
20050920	9/20/2005	3	Tuesday	Tue	20	263	39	September	Sep	9	3	2005
20050921	9/21/2005	4	Wednesday	Wed	21	264	39	September	Sep	9	3	2005
20050922	9/22/2005	5	Thursday	Thu	22	265	39	September	Sep	9	3	2005
20050923	9/23/2005	6	Friday	Fri	23	266	39	September	Sep	9	3	2005
20050924	9/24/2005	7	Saturday	Sat	24	267	39	September	Sep	9	3	2005
20050925	9/25/2005	1	Sunday	Sun	25	268	40	September	Sep	9	3	2005
20050926	9/26/2005	2	Monday	Mon	26	269	40	September	Sep	9	3	2005
20050927	9/27/2005	3	Tuesday	Tue	27	270	40	September	Sep	9	3	2005
20050928	9/28/2005	4	Wednesday	Wed	28	271	40	September	Sep	9	3	2005
20050929	9/29/2005	5	Thursday	Thu	29	272	40	September	Sep	9	3	2005
20050930	9/30/2005	6	Friday	Fri	30	273	40	September	Sep	9	3	2005
20051001	10/1/2005	7	Saturday	Sat	1	274	40	October	Oct	10	4	2005
20051002	10/2/2005	1	Sunday	Sun	2	275	41	October	Oct	10	4	2005
20051003	10/3/2005	2	Monday	Mon	3	276	41	October	Oct	10	4	2005
20051004	10/4/2005	3	Tuesday	Tue	4	277	41	October	Oct	10	4	2005
20051005	10/5/2005	4	Wednesday	Wed	5	278	41	October	Oct	10	4	2005
20051006	10/6/2005	5	Thursday	Thu	6	279	41	October	Oct	10	4	2005
20051007	10/7/2005	6	Friday	Fri	7	280	41	October	Oct	10	4	2005
20051008	10/8/2005	7	Saturday	Sat	8	281	41	October	Oct	10	4	2005
20051009	10/9/2005	1	Sunday	Sun	9	282	42	October	Oct	10	4	2005
20051010	10/10/2005	2	Monday	Mon	10	283	42	October	Oct	10	4	2005
20051011	10/11/2005	3	Tuesday	Tue	11	284	42	October	Oct	10	4	2005
20051012	10/12/2005	4	Wednesday	Wed	12	285	42	October	Oct	10	4	2005
20051013	10/13/2005	5	Thursday	Thu	13	286	42	October	Oct	10	4	2005
20051014	10/14/2005	6	Friday	Fri	14	287	42	October	Oct	10	4	2005
20051015	10/15/2005	7	Saturday	Sat	15	288	42	October	Oct	10	4	2005
20051016	10/16/2005	1	Sunday	Sun	16	289	43	October	Oct	10	4	2005
20051017	10/17/2005	2	Monday	Mon	17	290	43	October	Oct	10	4	2005
20051018	10/18/2005	3	Tuesday	Tue	18	291	43	October	Oct	10	4	2005
20051019	10/19/2005	4	Wednesday	Wed	19	292	43	October	Oct	10	4	2005
20051020	10/20/2005	5	Thursday	Thu	20	293	43	October	Oct	10	4	2005
20051021	10/21/2005	6	Friday	Fri	21	294	43	October	Oct	10	4	2005
20051022	10/22/2005	7	Saturday	Sat	22	295	43	October	Oct	10	4	2005
20051023	10/23/2005	1	Sunday	Sun	23	296	44	October	Oct	10	4	2005
20051024	10/24/2005	2	Monday	Mon	24	297	44	October	Oct	10	4	2005
20051025	10/25/2005	3	Tuesday	Tue	25	298	44	October	Oct	10	4	2005
20051026	10/26/2005	4	Wednesday	Wed	26	299	44	October	Oct	10	4	2005
20051027	10/27/2005	5	Thursday	Thu	27	300	44	October	Oct	10	4	2005
20051028	10/28/2005	6	Friday	Fri	28	301	44	October	Oct	10	4	2005
20051029	10/29/2005	7	Saturday	Sat	29	302	44	October	Oct	10	4	2005
20051030	10/30/2005	1	Sunday	Sun	30	303	45	October	Oct	10	4	2005
20051031	10/31/2005	2	Monday	Mon	31	304	45	October	Oct	10	4	2005
20051101	11/1/2005	3	Tuesday	Tue	1	305	45	November	Nov	11	4	2005
20051102	11/2/2005	4	Wednesday	Wed	2	306	45	November	Nov	11	4	2005
20051103	11/3/2005	5	Thursday	Thu	3	307	45	November	Nov	11	4	2005
20051104	11/4/2005	6	Friday	Fri	4	308	45	November	Nov	11	4	2005
20051105	11/5/2005	7	Saturday	Sat	5	309	45	November	Nov	11	4	2005
20051106	11/6/2005	1	Sunday	Sun	6	310	46	November	Nov	11	4	2005
20051107	11/7/2005	2	Monday	Mon	7	311	46	November	Nov	11	4	2005
20051108	11/8/2005	3	Tuesday	Tue	8	312	46	November	Nov	11	4	2005
20051109	11/9/2005	4	Wednesday	Wed	9	313	46	November	Nov	11	4	2005
20051110	11/10/2005	5	Thursday	Thu	10	314	46	November	Nov	11	4	2005
20051111	11/11/2005	6	Friday	Fri	11	315	46	November	Nov	11	4	2005
20051112	11/12/2005	7	Saturday	Sat	12	316	46	November	Nov	11	4	2005
20051113	11/13/2005	1	Sunday	Sun	13	317	47	November	Nov	11	4	2005
20051114	11/14/2005	2	Monday	Mon	14	318	47	November	Nov	11	4	2005
20051115	11/15/2005	3	Tuesday	Tue	15	319	47	November	Nov	11	4	2005
20051116	11/16/2005	4	Wednesday	Wed	16	320	47	November	Nov	11	4	2005
20051117	11/17/2005	5	Thursday	Thu	17	321	47	November	Nov	11	4	2005
20051118	11/18/2005	6	Friday	Fri	18	322	47	November	Nov	11	4	2005
20051119	11/19/2005	7	Saturday	Sat	19	323	47	November	Nov	11	4	2005
20051120	11/20/2005	1	Sunday	Sun	20	324	48	November	Nov	11	4	2005
20051121	11/21/2005	2	Monday	Mon	21	325	48	November	Nov	11	4	2005
20051122	11/22/2005	3	Tuesday	Tue	22	326	48	November	Nov	11	4	2005
20051123	11/23/2005	4	Wednesday	Wed	23	327	48	November	Nov	11	4	2005
20051124	11/24/2005	5	Thursday	Thu	24	328	48	November	Nov	11	4	2005
20051125	11/25/2005	6	Friday	Fri	25	329	48	November	Nov	11	4	2005
20051126	11/26/2005	7	Saturday	Sat	26	330	48	November	Nov	11	4	2005
20051127	11/27/2005	1	Sunday	Sun	27	331	49	November	Nov	11	4	2005
20051128	11/28/2005	2	Monday	Mon	28	332	49	November	Nov	11	4	2005
20051129	11/29/2005	3	Tuesday	Tue	29	333	49	November	Nov	11	4	2005
20051130	11/30/2005	4	Wednesday	Wed	30	334	49	November	Nov	11	4	2005
20051201	12/1/2005	5	Thursday	Thu	1	335	49	December	Dec	12	4	2005
20051202	12/2/2005	6	Friday	Fri	2	336	49	December	Dec	12	4	2005
20051203	12/3/2005	7	Saturday	Sat	3	337	49	December	Dec	12	4	2005
